1,2
2,1
2,3
3,4
3,2
3,6
4,3
4,5
5,4
6,3
6,11
6,7
7,6
7,8
7,10
8,7
8,9
9,8
9,10
9,12
10,7
10,9
10,11
10,13
11,6
11,14
11,10
12,9
12,17
12,13
13,10
13,12
13,14
13,20
14,11
14,13
14,21
14,15
15,14
15,16
15,22
16,15
17,18
17,12
17,20
17,19
18,17
18,19
19,18
19,17
19,24
19,61
20,13
20,17
20,21
20,24
21,14
21,20
21,22
21,25
22,15
22,21
22,23
22,26
23,22
23,27
24,19
24,20
24,30
25,30
25,21
25,44
26,44
26,28
26,22
26,103
27,23
27,26
28,26
28,45
28,162
29,162
30,24
30,25
30,31
31,30
31,32
31,33
32,31
33,31
33,34
33,35
34,33
35,33
35,36
35,37
36,35
37,35
37,38
37,133
38,37
38,43
38,39
39,38
39,40
40,39
40,41
41,40
41,42
42,41
43,38
43,133
44,25
44,26
44,45
45,44
45,46
45,28
46,45
46,47
47,160
47,48
48,49
48,47
49,48
49,50
49,51
50,49
50,52
51,49
51,52
52,53
52,50
52,51
53,52
53,54
53,56
54,53
54,55
55,54
55,56
56,53
56,55
56,57
57,56
57,58
57,60
58,57
58,59
59,58
59,60
60,57
60,59
60,196
61,19
61,112
61,62
62,63
62,61
62,85
63,62
63,64
64,77
64,63
64,71
64,65
65,73
65,64
65,66
66,65
66,67
66,74
67,66
67,68
68,67
68,69
69,68
69,70
70,69
70,71
71,72
71,70
71,64
72,71
72,73
73,72
73,65
74,66
74,75
75,74
75,76
75,84
76,75
76,77
76,80
77,64
77,78
77,76
78,79
78,77
79,78
79,102
80,102
70,76
80,81
81,80
81,84
81,82
82,83
82,81
83,84
83,82
84,81
84,83
84,75
85,86
85,62
86,85
86,93
86,87
86,90
87,86
87,88
88,89
88,87
89,90
89,88
90,89
90,91
90,86
91,92
91,90
92,91
92,93
93,86
93,92
93,94
93,96
94,95
94,93
95,94
95,96
96,97
96,95
96,93
97,96
97,98
98,97
98,99
99,98
99,100
100,99
100,101
101,100
102,79
102,80
103,26
103,127
103,110
103,117
104,110
104,196
104,105
104,106
105,104
105,107
106,107
106,104
107,105
107,106
107,108
108,107
108,109
109,108
110,104
110,111
110,103
112,61
112,113
113,112
113,114
114,113
114,115
115,114
115,116
116,115
117,118
117,132
117,131
117,103
118,117
118,119
118,122
118,120
119,118
120,118
120,121
120,143
121,122
121,120
121,142
122,121
122,132
122,118
123,132
123,124
123,131
124,123
124,125
124,135
125,126
125,124
126,125
127,103
127,128
128,129
128,131
128,127
129,128
129,130
130,129
131,117
131,128
131,123
132,122
132,123
132,117
132,134
133,37
133,43
134,135
134,132
134,138
134,136
135,134
135,124
135,139
136,137
136,134
136,140
136,142
137,136
137,138
138,137
138,139
138,134
138,176
139,138
139,163
139,135
140,141
140,136
140,195
141,140
141,148
141,146
142,136
142,121
142,195
142,143
143,144
143,142
143,120
144,143
144,145
144,195
145,153
145,144
145,146
146,147
146,145
146,141
147,146
147,152
147,148
147,153
148,149
148,141
148,147
149,148
149,150
149,152
150,149
150,159
150,151
150,192
151,150
151,152
151,157
152,151
152,149
152,147
152,156
153,156
153,147
153,145
153,197
154,197
155,197
156,157
156,152
156,153
157,158
157,156
157,151
157,193
158,157
159,189
159,150
159,190
160,47
160,161
161,160
161,162
162,28
162,161
162,29
163,139
163,174
163,164
164,163
164,165
164,167
165,166
165,164
166,165
167,164
167,168
168,169
168,167
169,170
169,168
169,173
170,171
170,169
171,170
171,178
171,172
172,171
172,177
172,198
173,169
173,174
173,198
174,173
174,163
174,175
175,174
175,176
175,198
176,175
176,138
176,177
177,182
177,176
177,172
178,179
178,171
178,183
179,180
179,178
179,182
180,179
180,181
181,180
182,179
182,177
182,187
183,178
183,184
184,183
184,185
185,184
185,187
185,186
186,185
187,185
187,182
187,188
188,187
188,189
189,188
189,159
190,159
190,191
191,190
192,150
192,193
193,192
193,194
193,157
194,193
195,140
195,142
195,144
196,60
196,104
197,153
197,155
197,154
198,172
198,173
198,175
